case,reference,tensor,dtype,units,bytes_equal,actual_sha256,reference_sha256,different_bytes,signedMean,meanAbsolute,rms,maximumAbsolute
joint,captured45,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
joint,captured45,fullResolutionModel,float32,native tensor domain,False,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,c99029e8047eec701ad0110c2340bdf28394a2939638fd887feb80ae9e3c7b3a,4403369,0.0005371269641459866,0.00148140376889503,0.0032059249463694036,0.06348365545272827
joint,captured45,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
joint,captured45,incomingHistory,float32,native tensor domain,False,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,1079436,-0.0003006474130015872,0.00103960744803544,0.002189496595571597,0.0369873046875
joint,captured45,logicalFeatures,float32,native tensor domain,False,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,b34c3b1f97e85832946cfa6108891678eb9a29b4fd660ffbcc8ed5f17973bb29,1606092,0.0004071648655088467,0.21165371277902562,0.612951827160419,6.51953125
joint,captured45,logicalHead,float16,native tensor domain,False,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,4ccb12f0fefed5b5a0b6e55ec3defcd4c8d9763635783a8f42761b7912f7569d,1082504,-0.01974717007508136,0.06236175339118846,0.16683728842874745,1.89013671875
joint,captured45,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
joint,captured45,networkFeatures,float32,native tensor domain,False,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,f363567f9b4f5da18f8449a578170e99ca6b0a1046604aed47111c0af1369776,1774670,0.00026624472231180364,0.2116300538464717,0.6128543186160667,6.51953125
joint,captured45,networkHead,float16,native tensor domain,False,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,9387f9627b69c91696ce47fbb1dd34ad15eba3d12321d3a6c1654e443fc8b087,1208332,-0.01716325591578425,0.06254279532213332,0.16503950060389966,1.89013671875
joint,captured45,postprocessedSDR,float32,native tensor domain,False,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,1165296,0.000537158818748072,0.0014869043479090276,0.003224156649735134,0.0623779296875
joint,captured45,preparedFeatures,float16,native tensor domain,False,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,e52786f9602c80ddb15acd0b53dd03d8d694d8641246e61f440f0585e52cf502,1321961,0.0002662448052888067,0.21163005371276994,0.612854318616049,6.51953125
joint,actual46,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
joint,actual46,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
joint,actual46,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
joint,actual46,fullResolutionModel,float32,native tensor domain,True,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,0,0.0,0.0,0.0,0.0
joint,actual46,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
joint,actual46,incomingHistory,float32,native tensor domain,True,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,0,0.0,0.0,0.0,0.0
joint,actual46,logicalFeatures,float32,native tensor domain,True,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,0,0.0,0.0,0.0,0.0
joint,actual46,logicalHead,float16,native tensor domain,True,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,0,0.0,0.0,0.0,0.0
joint,actual46,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
joint,actual46,networkFeatures,float32,native tensor domain,True,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,0,0.0,0.0,0.0,0.0
joint,actual46,networkHead,float16,native tensor domain,True,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,0,0.0,0.0,0.0,0.0
joint,actual46,postprocessedSDR,float32,native tensor domain,True,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,0,0.0,0.0,0.0,0.0
joint,actual46,preparedFeatures,float16,native tensor domain,True,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,0,0.0,0.0,0.0,0.0
joint,enhanced45,enhanced,float32,RGB component cd/m2,False,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,475a5d0c82a64f1a2bf877a38a052dbbb0523c6ec6b0c5e5dfceb884fdce6338,4553089,-0.5945667782478711,0.6997588416960829,8.381745200364385,275.5301513671875
joint,enhanced46,enhanced,float32,RGB component cd/m2,True,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,0,0.0,0.0,0.0,0.0
joint,original45,enhanced,float32,RGB component cd/m2,False,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,1ed07bcafe6eb647226266a7e922e747b3e36498f573c08b707d4a27d6c41aeb,4811967,-4.745307257759574,5.4763064146052995,49.5571660695599,1960.7716674804688
actual46,captured45,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
actual46,captured45,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
actual46,captured45,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
actual46,captured45,fullResolutionModel,float32,native tensor domain,False,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,c99029e8047eec701ad0110c2340bdf28394a2939638fd887feb80ae9e3c7b3a,4403369,0.0005371269641459866,0.00148140376889503,0.0032059249463694036,0.06348365545272827
actual46,captured45,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
actual46,captured45,incomingHistory,float32,native tensor domain,False,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,1079436,-0.0003006474130015872,0.00103960744803544,0.002189496595571597,0.0369873046875
actual46,captured45,logicalFeatures,float32,native tensor domain,False,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,b34c3b1f97e85832946cfa6108891678eb9a29b4fd660ffbcc8ed5f17973bb29,1606092,0.0004071648655088467,0.21165371277902562,0.612951827160419,6.51953125
actual46,captured45,logicalHead,float16,native tensor domain,False,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,4ccb12f0fefed5b5a0b6e55ec3defcd4c8d9763635783a8f42761b7912f7569d,1082504,-0.01974717007508136,0.06236175339118846,0.16683728842874745,1.89013671875
actual46,captured45,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
actual46,captured45,networkFeatures,float32,native tensor domain,False,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,f363567f9b4f5da18f8449a578170e99ca6b0a1046604aed47111c0af1369776,1774670,0.00026624472231180364,0.2116300538464717,0.6128543186160667,6.51953125
actual46,captured45,networkHead,float16,native tensor domain,False,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,9387f9627b69c91696ce47fbb1dd34ad15eba3d12321d3a6c1654e443fc8b087,1208332,-0.01716325591578425,0.06254279532213332,0.16503950060389966,1.89013671875
actual46,captured45,postprocessedSDR,float32,native tensor domain,False,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,1165296,0.000537158818748072,0.0014869043479090276,0.003224156649735134,0.0623779296875
actual46,captured45,preparedFeatures,float16,native tensor domain,False,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,e52786f9602c80ddb15acd0b53dd03d8d694d8641246e61f440f0585e52cf502,1321961,0.0002662448052888067,0.21163005371276994,0.612854318616049,6.51953125
actual46,enhanced45,enhanced,float32,RGB component cd/m2,False,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,475a5d0c82a64f1a2bf877a38a052dbbb0523c6ec6b0c5e5dfceb884fdce6338,4553089,-0.5945667782478711,0.6997588416960829,8.381745200364385,275.5301513671875
