sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,residual,controlHistoryReset,flashHistoryReset,publicMotionRequested,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
9,9,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2717538.675023268,3314373.1558857663,1268780630.11992,-3.931624240485052,4.795100051918064,42.844137575574926,1712.7222290039062,-1712.7222290039062,9,447,226,B
9,9,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
10,10,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
10,10,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
10,10,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
11,11,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
11,11,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
11,11,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
12,12,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2577780.6330656754,3184912.1856283294,1172697979.078322,-3.729427999226961,4.607801194485431,41.18994609787907,1698.4925537109375,-1698.4925537109375,12,447,226,B
12,12,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2577780.6330656754,3184912.1856283294,1172697979.078322,-3.729427999226961,4.607801194485431,41.18994609787907,1698.4925537109375,-1698.4925537109375,12,447,226,B
12,12,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
13,13,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2495404.509923394,3112610.599148984,1083483477.382161,-3.610249580328984,4.503198204787303,39.592167825935746,1689.526123046875,-1689.526123046875,13,447,226,B
13,13,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2495404.509923394,3112610.599148984,1083483477.382161,-3.610249580328984,4.503198204787303,39.592167825935746,1689.526123046875,-1689.526123046875,13,447,226,B
13,13,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
14,14,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2473416.641703067,3092383.7849682546,1038494662.9831438,-3.5784384283898536,4.473934874086017,38.76147274501044,1678.7305297851562,-1678.7305297851562,14,447,226,B
14,14,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2473416.641703067,3092383.7849682546,1038494662.9831438,-3.5784384283898536,4.473934874086017,38.76147274501044,1678.7305297851562,-1678.7305297851562,14,447,226,B
14,14,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
15,15,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2595356.4055454656,3205637.095210783,1120863654.1710496,-3.7548559108007313,4.637785149321156,40.269341564509524,1706.669921875,-1706.669921875,15,447,226,B
15,15,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2595356.4055454656,3205637.095210783,1120863654.1710496,-3.7548559108007313,4.637785149321156,40.269341564509524,1706.669921875,-1706.669921875,15,447,226,B
15,15,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
16,16,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2551508.9672634206,3120283.497255107,1078711595.6703224,-3.691419223471384,4.514299041167689,39.50488563591052,1669.9317626953125,-1669.9317626953125,16,447,226,B
16,16,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2551508.9672634206,3120283.497255107,1078711595.6703224,-3.691419223471384,4.514299041167689,39.50488563591052,1669.9317626953125,-1669.9317626953125,16,447,226,B
16,16,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
17,17,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2691605.9654544564,3320763.8839161964,1282677569.7978897,-3.8941058527986927,4.804345896869497,43.07813425334553,1712.2186279296875,-1712.2186279296875,17,447,226,B
17,17,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2691605.9654544564,3320763.8839161964,1282677569.7978897,-3.8941058527986927,4.804345896869497,43.07813425334553,1712.2186279296875,-1712.2186279296875,17,447,226,B
17,17,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
18,18,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2680795.683204543,3307896.6411064975,1262565045.6386008,-3.878465976858424,4.785730094193428,42.73906491951754,1703.5408935546875,-1703.5408935546875,18,447,226,B
