revealSourceFrameIndex,observedSourceFrameIndex,ageFrames,finalObservation,cohortPixels,supportPixels,originalCorrespondenceBitExact,reason,enhancedMinusOriginal_signedMeanNits,enhancedMinusOriginal_meanAbsoluteNits,enhancedMinusOriginal_rmsNits,enhancedMinusOriginal_maximumAbsoluteNits,changeFromReveal_signedMeanNits,changeFromReveal_meanAbsoluteNits,changeFromReveal_rmsNits,changeFromReveal_maximumAbsoluteNits
8,8,0,False,10440,10440,True,,0.0672485512144873,0.9890462122010697,1.5358615515357796,8.447980880737305,0.0,0.0,0.0,0.0
8,9,1,False,10440,10440,True,,0.01353488946059959,0.9272334123537002,1.4921626119618059,8.825838565826416,-0.05371366175388772,0.23819631649274023,0.4552994411015319,4.544805526733398
9,9,0,False,10440,10440,True,,-11.257897951126415,13.907500797476665,61.53842317806887,844.5689086914062,0.0,0.0,0.0,0.0
8,10,2,False,10440,10440,True,,0.013240619774522452,0.9431999319814631,1.5131551454244025,8.540163040161133,-0.05400793143996486,0.3219120773699701,0.5544379723751912,4.7350053787231445
9,10,1,False,10440,10440,True,,-9.69287875311825,11.439279518346035,47.84714050637739,774.5957336425781,1.5650191980081647,6.236743905536276,37.08634015327784,549.2925415039062
10,10,0,False,10440,10440,True,,-17.04846266279887,19.1188956576076,57.89495837173308,819.8467407226562,0.0,0.0,0.0,0.0
9,11,2,False,10440,10440,True,,-8.280645067419316,9.988077791210676,45.594565742500706,795.6408081054688,2.977252883707098,7.0655409519783055,38.81958737604734,586.3234252929688
10,11,1,False,10440,10440,True,,-13.192177434065908,14.68116776438901,44.86790591523853,818.0838928222656,3.856285228732959,6.164356796214617,29.809945865763446,436.51806640625
11,11,0,False,10440,10440,True,,-5.713560644339468,7.346676631665005,41.99013573449706,823.3215942382812,0.0,0.0,0.0,0.0
8,12,4,False,10440,10440,True,,0.03217811671824291,0.9364731198469342,1.5145164219917422,8.63215446472168,-0.035070434496244404,0.24163894363480357,0.44011105388095306,4.667669296264648
10,12,2,False,10440,10440,True,,-7.604100036933735,9.47305360426597,38.83429284202112,800.6816711425781,9.444362625865132,11.046061351541537,36.079918787632764,473.13525390625
11,12,1,False,10440,10440,True,,-3.8418851209206952,5.906935388545824,38.805405166484384,811.5779113769531,1.871675523418773,2.3764756153185633,9.638993917095622,194.48046875
12,12,0,False,10440,10440,True,,-0.09522108560092604,1.2114794628335446,2.1087773228875966,19.117265701293945,0.0,0.0,0.0,0.0
9,13,4,False,10440,10440,True,,-6.551103164064597,8.440561889099863,42.590038964705215,840.1900939941406,4.706794787061818,7.267380627622771,39.4360137567401,599.5375366210938
11,13,2,False,10440,10440,True,,-4.479693556823442,6.300503705213607,38.492164958610985,886.1558837890625,1.233867087516026,2.465558933307017,11.809765715613795,236.01300048828125
12,13,1,False,10440,10440,True,,-0.07255679769572322,1.0734551797139233,1.7795258646021115,17.281651496887207,0.02266428790520282,0.37173212652652504,0.9143437065548845,10.759160995483398
13,13,0,False,10440,10440,True,,-0.17566033321626645,1.228076186483086,1.994278976273939,18.82339382171631,0.0,0.0,0.0,0.0
10,14,4,False,10440,10440,True,,-13.267983255328879,14.768370185107335,45.62551744336704,840.1563720703125,3.780479407469988,6.272669449604044,30.075107379091143,472.71844482421875
12,14,2,False,10440,10440,True,,-0.14388832003639423,1.0256987322545295,1.7635209132289624,17.934638023376465,-0.048667234435468186,0.4813529190794109,1.0473827432661225,11.482913970947266
13,14,1,False,10440,10440,True,,-0.22022285300805347,1.2231881307763919,1.9898401923133915,17.870960235595703,-0.044562519791787006,0.26087499817745285,0.3966542880708011,2.628459930419922
14,14,0,False,10440,10440,True,,-0.09763414441854104,0.9237571306764547,1.5188101179608342,8.494479179382324,0.0,0.0,0.0,0.0
11,15,4,False,10440,10440,True,,-8.34425659033358,9.797208042138484,45.81057232046554,846.0889282226562,-2.6306959459941126,3.315229801697559,12.751479773340744,217.35394287109375
13,15,2,False,10440,10440,True,,-0.08125465692307605,1.236567496252395,1.9977197209631021,18.95185375213623,0.09440567629319041,0.35255247341566465,0.538595697915664,4.398731231689453
14,15,1,False,10440,10440,True,,0.04202865737265554,0.9518082914624177,1.5025294065952741,8.511126518249512,0.13966280179119658,0.24159432365862346,0.4724154357330387,5.0093536376953125
15,15,0,False,10440,10440,True,,0.03898302807471457,0.9265377550689197,1.4712927137631184,8.532558917999268,0.0,0.0,0.0,0.0
8,16,8,False,10440,10440,True,,0.0522158421794878,0.9573947597033372,1.533820748625208,8.459855079650879,-0.015032709034999515,0.3173283265068613,0.5461337419492106,4.611886978149414
12,16,4,False,10440,10440,True,,0.017488573868384306,1.1242088690590433,1.8909450271834625,18.63653564453125,0.11270965946931036,0.36864732847397963,1.0136448584926294,12.583503723144531
14,16,2,False,10440,10440,True,,0.08557137479080247,0.9734831494180484,1.5210703370622964,8.558217525482178,0.1832055192093435,0.3344032747097703,0.5795014991096905,4.960121154785156
15,16,1,False,10440,10440,True,,0.08199381137868605,0.9299705402985082,1.457966770572758,8.412100791931152,0.04301078330397149,0.18281573125876077,0.2949315651870916,1.7257556915283203
16,16,0,False,10440,10440,True,,0.07994862877850636,0.9938813696038525,1.5367813844231117,8.192263126373291,0.0,0.0,0.0,0.0
9,17,8,False,10440,10440,True,,-11.367848080690143,12.864735556581731,49.89436098396458,786.6302490234375,-0.1099501295637287,7.075292438284124,37.14858258867195,557.3259887695312
13,17,4,False,10440,10440,True,,0.0017420441045462704,1.232684812088655,1.982093111697224,18.57471752166748,0.17740237732081274,0.3663309613463979,0.5880231026156446,4.514106750488281
15,17,2,False,10440,10440,True,,0.04458968161508955,0.932969913406162,1.4764232532932682,8.345822811126709,0.00560665354037498,0.27367155306412344,0.4347454055317388,2.992424964904785
16,17,1,False,10440,10440,True,,0.04251361658860897,0.9585669656461379,1.515392745433357,8.464754104614258,-0.037435012189897386,0.20995613316200093,0.3696767322874803,3.003152847290039
17,17,0,False,10440,10440,True,,-7.433780894579787,8.219281353631162,16.756441509212525,105.3896255493164,0.0,0.0,0.0,0.0
10,18,8,False,10440,10440,True,,-16.314914432231166,17.80739507452736,49.85511529257968,843.407470703125,0.733548230567702,5.105660108807538,28.755757082098757,447.50152587890625
14,18,4,False,10440,10440,True,,0.18404100067808862,0.9635858712506172,1.469947798122987,8.201925277709961,0.28167514509662966,0.32726092290033326,0.544585076579092,5.042081832885742
16,18,2,False,10440,10440,True,,0.15580937535065495,0.9588291416679763,1.4693786433234661,8.165879249572754,0.0758607465721486,0.27962558047981556,0.4497952644470012,2.737497329711914
17,18,1,False,10440,10440,True,,-4.460921778957125,5.531037883921068,11.790174171451364,105.6441421508789,2.972859115622662,3.2684673263918547,8.15868177877829,73.5408935546875
18,18,0,False,10440,10440,True,,-5.631747272896127,6.5604661691995725,12.574018829487448,104.26954650878906,0.0,0.0,0.0,0.0
11,19,8,False,10440,10440,True,,-6.06960717943449,7.612471841082084,40.09476223282769,844.0317687988281,-0.3560465350950222,2.3936350556442267,11.945877695329383,219.885498046875
15,19,4,False,10440,10440,True,,-0.03017839346542517,0.9439769880924646,1.5234541721196437,8.642472743988037,-0.06916142154013974,0.21653202492386903,0.35704690009821605,3.107797622680664
