sampleKind,sourceFrameIndex,previousSourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,metric,controlHistoryReset,grainHistoryReset,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
frame,5,,5,30,1,30,prefix,C,False,False,691200,-2540946.103098507,3135343.8632127,1066271132.7912709,-3.6761373019364973,4.5360877650646705,39.27642593524302,1678.8146362304688,-1678.8146362304688,5,447,226,B
frame,5,,5,30,1,30,prefix,R,False,False,691200,-2540946.103098507,3135343.8632127,1066271132.7912709,-3.6761373019364973,4.5360877650646705,39.27642593524302,1678.8146362304688,-1678.8146362304688,5,447,226,B
frame,5,,5,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
frame,5,,5,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
frame,5,,5,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
adjacent,5,4,5,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
adjacent,5,4,5,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
adjacent,5,4,5,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
frame,6,,6,30,1,30,prefix,C,False,False,691200,-2374630.401294471,2963088.8285052194,909054265.07045,-3.4355185203913066,4.286876198647597,36.26544740051878,1661.447265625,-1661.447265625,6,447,226,B
frame,6,,6,30,1,30,prefix,R,False,False,691200,-2374630.401294471,2963088.8285052194,909054265.07045,-3.4355185203913066,4.286876198647597,36.26544740051878,1661.447265625,-1661.447265625,6,447,226,B
frame,6,,6,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
