configuration,source_frame_index,pts_value,pts_timescale,original_mean_nits,identity_mean_nits,enhanced_mean_nits,enhanced_minus_original_mean_nits,usable_common_support
historical_unaligned,1498,1740499,24000,48.957092850513554,48.95709270958121,50.09511519650503,1.1380223459914731,historical_unmasked
historical_unaligned,1499,1741500,24000,49.17646342192751,49.17646327616126,49.63358767434306,0.45712425241555366,historical_unmasked
historical_unaligned,1500,1742501,24000,49.32952995601812,49.32952984924268,49.373275868453874,0.0437459124357531,historical_unmasked
historical_unaligned,1501,1743502,24000,49.31502931193317,49.31502920081406,49.3867048982614,0.0716755863282259,historical_unmasked
historical_unaligned,1502,1744503,24000,49.0515168700697,49.05151681762128,49.776070787624086,0.7245539175543882,historical_unmasked
historical_unaligned,1503,1745504,24000,48.86199138459633,48.861991333405896,48.87400087547014,0.012009490873808204,historical_unmasked
historical_unaligned,1504,1746505,24000,48.98166678746365,48.981666707573005,49.483893682757724,0.502226895294072,historical_unmasked
historical_unaligned,1505,1747506,24000,49.12569262084929,49.12569254288409,49.92426070263271,0.7985680817834151,historical_unmasked
historical_unaligned,1506,1748507,24000,48.94484039114561,48.94484030242088,49.57756277090978,0.6327223797641679,historical_unmasked
historical_unaligned,1507,1749508,24000,48.77024914169315,48.770249080019695,49.19855897023622,0.4283098285430711,historical_unmasked
historical_unaligned,1508,1750509,24000,48.830645031573056,48.83064496483747,49.36867766021958,0.5380326286465262,historical_unmasked
historical_unaligned,1509,1751510,24000,48.89276968494391,48.892769627206455,49.537835245347615,0.6450655604037081,historical_unmasked
historical_unaligned,1510,1752511,24000,48.938448438162666,48.93844838513492,48.96896034293246,0.030511904769795706,historical_unmasked
historical_unaligned,1511,1753512,24000,48.94736023790062,48.94736017766194,49.15348249071971,0.20612225281909247,historical_unmasked
historical_unaligned,1512,1754513,24000,48.891553656637264,48.89155359158241,48.95661498548479,0.06506132884752702,historical_unmasked
historical_unaligned,1513,1755514,24000,48.794185935121675,48.79418585423634,48.71307491955756,-0.08111101556411171,historical_unmasked
historical_unaligned,1514,1756515,24000,48.89397354970912,48.89397347798872,48.67736734571717,-0.21660620399195096,historical_unmasked
historical_unaligned,1515,1757516,24000,48.89634563946564,48.89634557230562,49.156409989477254,0.26006435001161066,historical_unmasked
historical_unaligned,1516,1758517,24000,48.868013763984074,48.86801369857323,49.4349265592761,0.5669127952920263,historical_unmasked
historical_unaligned,1517,1759518,24000,48.87793344271303,48.87793338110522,49.221043728047825,0.34311028533479515,historical_unmasked
historical_unaligned,1518,1760519,24000,48.96512136811716,48.96512130681189,49.700312470960796,0.7351911028436362,historical_unmasked
historical_unaligned,1519,1761520,24000,49.01328095839606,49.013280889325486,49.783757354852135,0.7704763964560755,historical_unmasked
historical_unaligned,1520,1762521,24000,49.003109374466476,49.003109306951366,49.91618160002974,0.913072225563262,historical_unmasked
historical_unaligned,1521,1763522,24000,48.99930581340182,48.999305743284175,49.79491543403494,0.7956096206331225,historical_unmasked
historical_unaligned,1522,1764523,24000,48.989570496093464,48.98957042444759,49.789516792305065,0.7999462962116013,historical_unmasked
historical_unaligned,1523,1765524,24000,48.998683504718436,48.99868343098385,49.94693893940911,0.9482554346906724,historical_unmasked
historical_unaligned,1524,1766525,24000,48.953689631698495,48.95368956035547,49.38028812514922,0.42659849345072587,historical_unmasked
historical_unaligned,1525,1767526,24000,49.10038284217424,49.10038276798192,49.775190423610496,0.6748075814362551,historical_unmasked
historical_unaligned,1526,1768527,24000,49.098995930495306,49.09899585932595,49.525408091084955,0.42641216058964915,historical_unmasked
historical_unaligned,1527,1769528,24000,49.04007200301407,49.04007192426285,48.54003550355662,-0.5000364994574511,historical_unmasked
anchor1498/strict,1498,1740499,24000,48.82347604457238,48.82347595918302,49.946735340064976,1.1232592954925948,false
anchor1498/strict,1499,1741500,24000,48.95803730806854,48.958037119524676,49.48231784124817,0.5242805331796276,false
anchor1498/strict,1500,1742501,24000,49.02796688904964,49.02796678055728,49.183469867888476,0.15550297883883957,false
anchor1498/strict,1501,1743502,24000,49.021642403362385,49.0216422959189,49.19379571467785,0.17215331131546208,false
anchor1498/strict,1502,1744503,24000,48.897622420945396,48.897622410916256,49.61423870085282,0.7166162799074272,false
anchor1498/strict,1503,1745504,24000,48.73657251644603,48.736572481639406,48.82109487238999,0.08452235594396029,false
anchor1498/strict,1504,1746505,24000,48.86045156925964,48.86045150058621,49.3643498793507,0.5038983100910599,false
anchor1498/strict,1505,1747506,24000,48.93018232868311,48.93018224603577,49.754649624390524,0.8244672957074144,false
anchor1498/strict,1506,1748507,24000,48.82481382305188,48.824813753948284,49.46881786520635,0.6440040421544637,false
anchor1498/strict,1507,1749508,24000,48.71086748545851,48.7108674178709,49.16453519689166,0.4536677114331553,false
anchor1498/strict,1508,1750509,24000,48.75161172340638,48.751611689678086,49.309783040339674,0.5581713169332971,false
anchor1498/strict,1509,1751510,24000,48.796589660595224,48.796589614464374,49.479672985623196,0.6830833250279724,false
anchor1498/strict,1510,1752511,24000,48.82725401020451,48.82725396506336,48.87502444962781,0.04777043942329584,false
anchor1498/strict,1511,1753512,24000,48.83543484391074,48.83543478759807,49.06134039234653,0.22590554843579014,false
anchor1498/strict,1512,1754513,24000,48.78381304548266,48.783812994796286,48.85497811932306,0.0711650738403975,false
anchor1498/strict,1513,1755514,24000,48.71455267693195,48.71455260633138,48.6595310117943,-0.05502166513765161,false
anchor1498/strict,1514,1756515,24000,48.80855070116232,48.80855064976356,48.615962140152334,-0.192588561009984,false
anchor1498/strict,1515,1757516,24000,48.80591399234598,48.80591392887791,49.08979183090959,0.2838778385636118,false
anchor1498/strict,1516,1758517,24000,48.77463196453626,48.774631919850236,49.34970047406488,0.5750685095286201,false
anchor1498/strict,1517,1759518,24000,48.78717687041834,48.787176830109615,49.14999038333992,0.3628135129215764,false
anchor1498/strict,1518,1760519,24000,48.852384500300374,48.852384440201476,49.643695663652764,0.7913111633523897,false
anchor1498/strict,1519,1761520,24000,48.87836339261398,48.87836332402409,49.69352152701403,0.8151581344000505,false
anchor1498/strict,1520,1762521,24000,48.87290146541221,48.872901411575974,49.811443526067535,0.9385420606553225,false
anchor1498/strict,1521,1763522,24000,48.84743135489283,48.84743130769538,49.67655796411849,0.8291266092256606,false
anchor1498/strict,1522,1764523,24000,48.847425614407456,48.84742556641263,49.687273936675524,0.8398483222680682,false
anchor1498/strict,1523,1765524,24000,48.86951335415658,48.86951329298926,49.8620978591518,0.9925845049952216,false
anchor1498/strict,1524,1766525,24000,48.85888111732408,48.858881056625876,49.33449055884519,0.47560944152110807,false
anchor1498/strict,1525,1767526,24000,48.922907612683964,48.92290754054629,49.70683240853591,0.7839247958519451,false
anchor1498/strict,1526,1768527,24000,48.92435028851968,48.9243502239533,49.48002489942227,0.5556746109025852,false
anchor1498/strict,1527,1769528,24000,48.91046464276942,48.91046457733375,48.534581934189724,-0.3758827085796952,false
anchor1498/strict/zero_motion_same_mask,1498,1740499,24000,48.82347604457238,48.82347595918302,49.946735340064976,1.1232592954925948,false
anchor1498/strict/zero_motion_same_mask,1499,1741500,24000,48.9636560924648,48.96365590196311,49.48959059944574,0.5259345069809385,false
anchor1498/strict/zero_motion_same_mask,1500,1742501,24000,49.019696912180706,49.019696808838866,49.17888122804588,0.15918431586517556,false
anchor1498/strict/zero_motion_same_mask,1501,1743502,24000,49.012742356840796,49.01274225321211,49.188815984407974,0.17607362756717748,false
anchor1498/strict/zero_motion_same_mask,1502,1744503,24000,48.88902633237448,48.889026330153264,49.604550653692165,0.7155243213176874,false
anchor1498/strict/zero_motion_same_mask,1503,1745504,24000,48.72436937218496,48.72436933287231,48.80876660470348,0.08439723251851916,false
anchor1498/strict/zero_motion_same_mask,1504,1746505,24000,48.85965870136614,48.85965863254787,49.36342726308746,0.5037685617213157,false
anchor1498/strict/zero_motion_same_mask,1505,1747506,24000,48.93463316127483,48.93463307772479,49.76182766232529,0.8271945010504567,false
anchor1498/strict/zero_motion_same_mask,1506,1748507,24000,48.81760637850849,48.81760631224687,49.45967828430136,0.6420719057928679,false
