sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
3,3,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
3,3,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
3,3,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
4,4,30,1,30,staticPreroll,1,False,True,automatic,background,enhancedMinusOriginal,434880,434880,,-3.8109318973868174,4.523556499308515,41.76085141138289,1963.7659912109375,0.3374208819751884,0.370306625925965,4.080890577040651,158.891357421875
4,4,30,1,30,staticPreroll,1,False,True,automatic,background,identityMinusOriginal,434880,434880,,-2.1824517728418645e-10,4.213630444049718e-08,1.86970844704341e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
4,4,30,1,30,staticPreroll,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-1.401824262109258,3.5089800373452453,8.961156201533807,177.63697814941406,-0.05757795866307628,0.17091877299478683,0.3581108785686572,7.1007080078125
4,4,30,1,30,staticPreroll,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
4,4,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
4,4,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
4,4,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
4,4,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
5,5,30,1,30,staticPreroll,1,False,True,automatic,background,enhancedMinusOriginal,434880,434880,,-4.101642827684986,4.816566943453918,45.02586740560897,1995.9075927734375,-0.29071093029816875,0.3412523830901352,3.922086944487227,180.0911865234375
